page_id	status_id	link_name	status_published	num_reactions
CNN	5550296508_10155163822816509	Joseph Schooling beats Michael Phelps to claim Singapore's first Olympic gold	2016-08-12 21:14:56	3508
CNN	5550296508_10155163797056509	Bill Clinton: Email controversy is the 'biggest load of bull I've ever heard'	2016-08-12 21:01:46	1592
CNN	5550296508_10155163796576509	Hacker releases cell phone numbers, personal emails of House Democrats	2016-08-12 21:01:24	446
CNN	5550296508_10155163760831509	Lionel Messi announces Argentina return	2016-08-12 20:39:34	1324
CNN	5550296508_10155163747646509	Fighting the male biological clock by banking sperm	2016-08-12 20:31:02	129
CNN	5550296508_10155163713601509	The face of the Olympics will never look the same	2016-08-12 20:11:01	1597
CNN	5550296508_10155163662716509	Trump: If Clinton wins Pennsylvania, she cheated	2016-08-12 19:51:40	4017
CNN	5550296508_10155163613861509	Texas baby found dead after nine hours in hot car	2016-08-12 19:28:55	4860
CNN	5550296508_10155163567971509	Malawi is moving 500 elephants across the country	2016-08-12 19:01:03	310
CNN	5550296508_10155163523406509	Thomas Gibson fired from 'Criminal Minds' after on-set altercation	2016-08-12 18:44:17	2026
CNN	5550296508_10155163407666509	Watch Donald Trump evolve on ISIS	2016-08-12 18:01:20	2600
CNN	5550296508_10155163315056509	Watch a timelapse of the Perseid meteor shower	2016-08-12 17:22:56	1299
CNN	5550296508_10155163201151509	Poll: Clinton leading Trump in several critical battleground states	2016-08-12 16:46:01	9445
CNN	5550296508_10155163112261509	Brendan Dassey's conviction overturned in 'Making a Murderer' case	2016-08-12 16:19:02	9240
CNN	5550296508_10155163096821509	Live from Yankee Stadium before A-Rod's last game	2016-08-12 16:16:28	1568
CNN	5550296508_10155163036036509	Live: The story behind an Olympic proposal	2016-08-12 16:02:11	2269
CNN	5550296508_10155163002706509	US women's soccer team dethroned by Sweden	2016-08-12 15:46:02	620
CNN	5550296508_10155162938346509	'There are no winners in Aleppo'	2016-08-12 15:26:27	178
CNN	5550296508_10155162878621509		2016-08-12 15:15:28	2745
CNN	5550296508_10155162757331509	Senate Republican Leader Mitch McConnell warned about his party's chances of hanging onto its majority	2016-08-12 14:23:40	411
CNN	5550296508_10155162715426509	Live: Flooding in southeast Louisiana	2016-08-12 14:13:42	3154
